,Title,Published_date,Views,Likes,Comments,Video_length,Month
176,AirPods 3 Review: Easy Mode!,2021-11-02,4399892,145057,5386,653.0,Nov
177,Pixel 6/6 Pro Review: Almost Incredible!,2021-10-27,7751279,240621,15113,1310.0,Oct
178,The Rivian R1T is an Incredibly Fun Electric Pickup!,2021-10-22,5268907,131475,9562,1282.0,Oct
179,Surface Duo 2: Can This Be Saved?,2021-10-21,2447100,81353,8118,716.0,Oct
180,Pixel 6/6 Pro Unboxing & First Look!,2021-10-19,4531853,187688,10356,530.0,Oct
181,NEW M1 Max MacBook Pro Reaction: The Ports are Back!,2021-10-18,5426408,200167,13766,799.0,Oct
182,Apple Watch Series 7 Review: Spot the Differences!,2021-10-13,4906480,132206,5501,615.0,Oct
183,Reviewing EVERY iPhone Ever!,2021-10-12,14217845,390912,20264,1995.0,Oct
184,Surface Laptop Studio Impressions: Windows 11 With a Twist!,2021-10-05,3539361,104491,3965,687.0,Oct
185,iPhone 13 Pro Review: Better Than You Think!,2021-10-02,9279185,230612,12520,1103.0,Oct
186,RED V-RAPTOR Impressions: 8K 120fps!,2021-09-29,2246333,91828,4239,649.0,Sep
187,iPhone 13 Review: Lowkey Great!,2021-09-28,8121410,221120,10688,1083.0,Sep
188,iPad Mini 2021 Review: Pocketable Power!,2021-09-22,5692439,165419,8794,548.0,Sep
189,iPhone 13 Unboxing & Impressions!,2021-09-21,8732419,275078,16427,663.0,Sep
190,3 Features the iPhone 13 Didn't Add!,2021-09-17,3310053,123731,8460,829.0,Sep
191,iPhone 13 Event Reaction: Everything New!,2021-09-15,8100744,253109,17566,744.0,Sep
192,Real Thoughts on Tech Leaks!,2021-09-13,2293687,99360,4929,709.0,Sep
193,Driving 1000 Miles in 3 Cars: Gas vs Electric!,2021-09-09,3727479,146263,12783,1164.0,Sep
194,Samsung Z Flip 3 Review: The First Big Step!,2021-08-26,4961303,135100,7721,768.0,Aug
195,The Tesla Bot: Explained!,2021-08-23,5089772,205961,25629,907.0,Aug
196,Samsung Z Fold 3 Review: Let's Talk Ambition!,2021-08-20,4836695,125374,6820,909.0,Aug
197,Google Pixel 5A: Spot the Difference!,2021-08-17,3249374,109521,5267,595.0,Aug
198,Samsung Galaxy Z Flip 3 Impressions: Design Refresh!,2021-08-11,6537717,174768,7387,384.0,Aug
199,Samsung Galaxy Z Fold 3 Impressions: 3 New Features!,2021-08-11,3215673,110771,6886,670.0,Aug
200,Pixel 6's Tensor Chip: Let's Talk!,2021-08-02,3898900,169235,7828,609.0,Aug
201,The Electric Hummer: Hands-On & Impressions!,2021-07-30,2649567,111929,7147,608.0,Jul
202,Nothing Ear(1) Review: Transparent Buds!,2021-07-29,3894657,156540,6975,612.0,Jul
203,The iPhone 13 Models!,2021-07-27,4326933,143243,9562,535.0,Jul
204,Tesla Model S PLAID Impressions: Re-Inventing the Wheel!,2021-07-23,12144124,296686,18741,1242.0,Jul
205,How Do YouTubers Make Money? (And Other Questions We Have to Answer),2021-07-16,2710056,139922,6526,859.0,Jul
206,iPadOS 15 Review: Dropped Expectations!,2021-07-07,2923757,102179,5244,743.0,Jul
207,iOS 15 Hands-On: Top 5 New Features!,2021-07-02,8365450,244797,8779,746.0,Jul
208,Sony Xperia 1 III: The Ultimate Enthusiast Phone!,2021-07-01,3204016,124270,10781,802.0,Jul
209,Why Everything is an Ultrabook!,2021-06-30,2558249,84862,4930,544.0,Jun
210,Windows 11 Reactions: It Runs Android Apps! (Kinda),2021-06-24,5398375,234027,15653,548.0,Jun
211,Forgot About Beats by Dre?,2021-06-17,6067757,188090,8567,814.0,Jun
212,Top 5 Android 12 Features: Huge Redesign!,2021-06-13,3856433,166289,10583,737.0,Jun
213,"Why iPhone's Features are Always ""Late""",2021-06-08,4206549,180603,12536,704.0,Jun
214,When Smartphones Copy Each Other!,2021-06-02,1562663,73207,3448,612.0,Jun
215,Ford F150 Lightning Impressions: Better Than I Thought!,2021-05-28,7961535,289824,29527,815.0,May
216,Talking Tech and AI with Google CEO Sundar Pichai!,2021-05-21,4231850,203253,9942,861.0,May
217,iPad Pro M1 Review: The Ultimate Spec Bump!,2021-05-19,6933334,221932,13274,977.0,May
218,M1 iMac Review: Ultra Thin Design Choice!,2021-05-18,5772096,198155,12917,802.0,May
219,What Is Right To Repair?,2021-05-08,4425391,250574,13998,1216.0,May
220,Apple vs The Paradox of Choice!,2021-04-30,4374276,179794,11985,946.0,Apr
221,OnePlus Watch Review: They Settled!,2021-04-26,3192120,125866,8010,665.0,Apr
222,The New Purple iPhone 12!,2021-04-23,3353542,144451,7748,457.0,Apr
223,Apple AirTags Unboxing & Demo!,2021-04-22,9125475,279695,21677,686.0,Apr
224,Colored iMacs? Let's Talk About Apple's 4/20 Event!,2021-04-21,4902302,184553,22308,972.0,Apr
225,Retro Tech: Smart Homes,2021-04-17,1162657,45111,2594,1216.0,Apr
226,Retro Tech: Hyperconnectivity,2021-04-16,753127,32190,2060,1187.0,Apr
227,Retro Tech: Robots,2021-04-15,810642,35356,1894,1302.0,Apr
228,Retro Tech: Teleportation,2021-04-14,1582507,55797,2977,1212.0,Apr
229,Retro Tech: Wearables,2021-04-13,0,0,1269,1201.0,Apr
230,Retro Tech: Flying Cars,2021-04-13,2489396,96754,5317,1163.0,Apr
231,The World's Largest Smartphone Camera!,2021-04-12,3434299,120886,8239,957.0,Apr
232,Top 5 Mercedes EQS Features: Electric Luxury!,2021-04-11,5229347,149613,14846,937.0,Apr
233,The Ultimate Gaming Phone!,2021-04-08,6534678,226481,18687,774.0,Apr
234,Why Did LG Phones Really Die?,2021-04-06,3304436,137788,14831,1005.0,Apr
235,The Best Mac I've Ever Reviewed!,2021-04-01,2295509,244206,18575,541.0,Apr
236,OnePlus 9 Review: Sneaky Value!,2021-03-24,2410844,85307,5279,673.0,Mar
237,OnePlus 9 Pro Review: A Huge Hasselblad Promise!,2021-03-23,4597355,145346,10793,1246.0,Mar
238,Huawei Mate X2 Impressions: I Was Right!,2021-03-19,3050602,124571,7630,553.0,Mar
239,Dope Tech: The Fastest Drone AND Car Yet!,2021-03-17,3323785,128251,6430,1114.0,Mar
240,The Smartphone With a Microscope Camera?!,2021-03-13,3653555,128110,7816,782.0,Mar
241,ROG Phone 5 Ultimate Review: The Most Ridiculous Custom!,2021-03-10,2831836,120065,8373,923.0,Mar
242,What I REALLY Think of the iPhone!,2021-03-05,10160517,299342,22863,2878.0,Mar
243,"iPhone 13 ""Confirmed""?! NOPE",2021-02-27,2584626,116295,6340,790.0,Feb
244,Dogecoin: Explained,2021-02-16,3618758,149582,15824,645.0,Feb
245,How to Upgrade a PlayStation 5!,2021-02-13,2270249,89744,4032,575.0,Feb
246,Huawei Mate Xs Impressions: The Hottest Foldable!,2021-02-05,2451281,104886,4873,557.0,Feb
247,Galaxy S21 Review: Would You Notice?,2021-02-02,4843468,158926,10053,643.0,Feb
248,2021 Tesla Model S Refresh Reaction!,2021-01-29,6276864,225032,12923,798.0,Jan
249,"The Only REAL ""Pro"" Smartphone?!",2021-01-27,7553425,257264,12117,581.0,Jan
250,The Invisible Selfie Camera!,2021-01-25,3434768,138318,10271,635.0,Jan
251,Samsung Galaxy S21 Ultra Review: Problems Solved!,2021-01-21,6476107,194940,12135,882.0,Jan
252,Xiaomi Mi 11: The New Normal!,2021-01-20,3684044,136301,10196,633.0,Jan
253,Huge Apple 2021 Rumor Reactions!,2021-01-17,2928553,100776,7265,849.0,Jan
254,Samsung Galaxy S21 Ultra Impressions: Redemption Time!,2021-01-14,6133335,210503,16551,572.0,Jan
255,"Samsung Galaxy S21 Impressions: New Year, New Price!",2021-01-14,2345783,96528,8355,388.0,Jan
256,What Happened to OnePlus?,2021-01-12,5121058,255834,15844,546.0,Jan
257,2021 Tech I'm Ready For!,2020-12-31,3704151,172298,8379,1058.0,Dec
258,Dear Electric Cars!,2020-12-29,3160820,176656,18229,928.0,Dec
259,Giving Away 24 PS5s and XBox Series X!,2020-12-25,2200566,203187,97268,136.0,Dec
260,Smartphone Awards 2020!,2020-12-23,6899702,296787,19294,1505.0,Dec
261,Some Quick Advice from Barack Obama!,2020-12-16,3587721,259909,14145,432.0,Dec
262,AirPods Max Review: Luxury Listening!,2020-12-16,8899222,304940,23076,925.0,Dec
263,Outer Folding Phones: It's Time to Stop!,2020-12-15,1851198,90577,6319,617.0,Dec
264,The iPhone with a Piece of the Moon? The Caviar Story,2020-12-12,2973838,147841,8561,921.0,Dec
265,AirPods Max Unboxing & Impressions: $550?!,2020-12-10,12479200,414532,45938,712.0,Dec
266,The Portless iPhone: Let's Talk!,2020-12-07,6606941,236094,43919,757.0,Dec
267,The $129 Smartphone?!,2020-12-05,2613793,116265,8373,713.0,Dec
268,The Blind Smartphone Camera Test 2020!,2020-12-03,2977577,156735,11387,1027.0,Dec
269,What's in my Tech Bag! [2020],2020-11-30,3669681,170957,10242,665.0,Nov
270,The FIRST MKBHD Product: ICONS!,2020-11-27,1735452,124828,10615,519.0,Nov
271,The First Folding Screen Tablet!,2020-11-24,2803025,140024,10011,553.0,Nov
272,Apple M1 Mac Review: Time to Recalibrate!,2020-11-17,8813176,302321,16827,871.0,Nov
273,PlayStation 5 Review: Next Gen Gaming!,2020-11-14,7674868,247618,15045,1004.0,Nov
274,"HomePod Mini Review: Big Sound, Tiny Box!",2020-11-12,5539122,160220,7713,674.0,Nov
275,Apple M1 Chip: Let's Talk!,2020-11-11,4212820,170440,11878,735.0,Nov
276,iPhone 12 Pro Max Review: The Biggest Ever!,2020-11-09,5950720,177500,12432,609.0,Nov
277,iPhone 12 Mini Review: Tiny Tradeoffs!,2020-11-09,5400921,164441,7210,464.0,Nov
278,PlayStation 5 Controller: Major Key!,2020-11-01,3650284,165353,9932,510.0,Nov
279,iPhone 12 Pro Review: You Sure About That?,2020-10-30,8292090,236574,16897,637.0,Oct
280,PlayStation 5 Unboxing & Accessories!,2020-10-27,14143959,588208,39635,699.0,Oct
281,iPhone 12 Review: Just Got Real!,2020-10-25,13133331,325857,21225,1098.0,Oct
282,Google Pixel 5 Review: Software Special!,2020-10-23,4601945,147888,8449,767.0,Oct
283,Huawei Mate 40 Pro Impressions: Technically Awesome!,2020-10-22,2811159,111656,7954,489.0,Oct
284,iPad Air 2020: The Real iPad Pro Killer!,2020-10-21,7040242,208363,11637,506.0,Oct
285,iPhone 12 Unboxing Experience + MagSafe Demo!,2020-10-20,12732169,434624,33408,688.0,Oct
286,LG Wing: The Swiveling Smartphone!,2020-10-16,5123285,178236,13232,783.0,Oct
287,The $200 Smartphone?!,2020-10-15,2264821,102153,12466,536.0,Oct
288,Google Pixel 5 Impressions: A New Strategy?,2020-10-14,3857479,134540,8587,526.0,Oct
289,OnePlus 8T Review: The Awkward Middle Child!,2020-10-14,3294524,112275,9669,851.0,Oct
290,Apple iPhone 12 Lineup Reactions!,2020-10-14,6750238,230720,26025,1105.0,Oct
291,Why Don't People Buy Sony Smartphones?,2020-10-05,7769597,312622,35548,731.0,Oct
292,Apple Watch Series 6 Review: It's Bait!,2020-10-02,4542679,129473,5993,584.0,Oct
293,The Galaxy S20 Fan Edition: Hear Me Out!,2020-09-29,5282372,161998,38679,707.0,Sep
294,The Ultimate iOS 14 Homescreen Setup Guide!,2020-09-25,12203512,313981,13160,558.0,Sep
